input_role,path,size_bytes,expected_sha256,observed_sha256,outer_identity_status,internal_member_checks,internal_member_failures,status
D10A,C:\range_paper\10_archive\d10a_real_layout_nonoracle_v01\Q1_D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_REPRODUCIBLE_v01.zip,98141367,20e5d3ed33df6414b72a6e679d5349f3b10fe6397ce73f98b51d0bcc96033013,20e5d3ed33df6414b72a6e679d5349f3b10fe6397ce73f98b51d0bcc96033013,PASS,34,0,PASS
D10B,C:\range_paper\10_archive\d10b_oracle_source_decomposition_v01\Q1_D10B_ORACLE_SUPPORT_DOWNSTREAM_SOURCE_DECOMPOSITION_REPRODUCIBLE_v01.zip,98285008,cb041fca5897f31c8ea0bf2a3b29a262a5c83ef44bdfda9a37a0394cfc7cafeb,cb041fca5897f31c8ea0bf2a3b29a262a5c83ef44bdfda9a37a0394cfc7cafeb,PASS,27,0,PASS
D09C,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip,22496593,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,PASS,27,0,PASS
