model,world,observation_regime,orientation,source_fold,target_fold,synthetic_species_id,occupancy_pi_estimate,beta_binomial_rho,encounter_q_mean,brier_score,log_loss,expected_support_size,true_support_size,expected_support_size_bias,expected_support_size_relative_bias,occupied_cell_recall,precision,iou_jaccard,posterior_entropy_mean,support_size_q05,support_size_q50,support_size_q95,truth_size_within_q05_q95,target_cells,predicted_cells_at_0_5
M0,STRONG,O1,AB,A,B,SYN001,,,,0.038791623755578444,0.5359270487646285,26.0,139,-113.0,-0.8129496402877698,0.18705035971223022,1.0,0.18705035971223022,1.4815510057996149e-05,26.0,26.0,26.0,0,2913,26
M1,STRONG,O1,AB,A,B,SYN001,0.01454619936704899,0.02,0.1060996657302223,0.038332784130109335,0.2082186211640336,41.195421185891405,139,-97.8045788141086,-0.7036300634108532,0.18705035971223022,1.0,0.18705035971223022,0.030834876088503917,35.35,41.0,47.0,0,2913,26
M2,STRONG,O1,AB,A,B,SYN001,0.01454619936704899,0.02,0.1060996657302223,0.027729460311911668,0.1105979192998307,61.945666948125535,139,-77.05433305187447,-0.5543477197976581,0.2949640287769784,1.0,0.2949640287769784,0.03845976788259606,55.0,62.0,69.0,0,2913,41
M0,STRONG,O1,AB,A,B,SYN002,,,,0.01167181599725369,0.16125308546935288,31.0,65,-34.0,-0.5230769230769231,0.47692307692307695,1.0,0.47692307692307695,1.481551005799678e-05,31.0,31.0,31.0,0,2913,31
M1,STRONG,O1,AB,A,B,SYN002,0.014725324069057433,0.02,0.16634154699474749,0.011673332976521825,0.08471336930854041,41.85349713398254,65,-23.146502866017457,-0.3561000440925763,0.47692307692307695,1.0,0.47692307692307695,0.02216747496854463,37.0,42.0,47.64999999999999,0,2913,31
M2,STRONG,O1,AB,A,B,SYN002,0.014725324069057433,0.02,0.16634154699474749,0.006668456622556759,0.02799423961365056,53.20124137417321,65,-11.798758625826792,-0.18151936347425834,0.6615384615384615,0.9772727272727273,0.6515151515151515,0.023403205384743345,48.0,53.0,59.0,0,2913,44
M0,STRONG,O1,AB,A,B,SYN003,,,,0.02711980775832475,0.3746749632957758,95.0,174,-79.0,-0.4540229885057471,0.5459770114942529,1.0,0.5459770114942529,1.4815510058004879e-05,95.0,95.0,95.0,0,2913,95
M1,STRONG,O1,AB,A,B,SYN003,0.048414324828421715,0.02,0.12335189428605836,0.02678246286452193,0.14397065708353943,140.7079343052059,174,-33.292065694794104,-0.19133371088962128,0.5459770114942529,1.0,0.5459770114942529,0.07387709296562898,131.0,141.5,153.64999999999998,0,2913,95
M2,STRONG,O1,AB,A,B,SYN003,0.048414324828421715,0.02,0.12335189428605836,0.008984073141192303,0.041327823708359544,178.76060833105504,174,4.760608331055039,0.02735981799456919,0.7931034482758621,1.0,0.7931034482758621,0.07643083498467161,166.35,177.0,190.0,1,2913,138
M0,STRONG,O1,AB,A,B,SYN004,,,,0.018537590113285273,0.25610725339220747,94.0,148,-54.0,-0.36486486486486486,0.6351351351351351,1.0,0.6351351351351351,1.481551005800475e-05,94.0,94.0,94.0,0,2913,94
M1,STRONG,O1,AB,A,B,SYN004,0.052106095178668675,0.02,0.10049337633557275,0.018906878504984632,0.115220451087412,151.3653819823719,148,3.3653819823719004,0.022739067448458786,0.6351351351351351,1.0,0.6351351351351351,0.09043922288766335,138.7,150.0,161.64999999999998,1,2913,94
M2,STRONG,O1,AB,A,B,SYN004,0.052106095178668675,0.02,0.10049337633557275,0.008598701329121753,0.04623605248760914,181.22559922477188,148,33.225599224771884,0.2244972920592695,0.8175675675675675,0.9758064516129032,0.8013245033112583,0.09439989917975125,169.0,182.0,193.0,0,2913,124
M0,STRONG,O1,AB,A,B,SYN005,,,,0.020940611053896326,0.2893062121652066,77.0,138,-61.0,-0.4420289855072464,0.5579710144927537,1.0,0.5579710144927537,1.4815510058002602e-05,77.0,77.0,77.0,0,2913,77
M1,STRONG,O1,AB,A,B,SYN005,0.03821407267407391,0.02,0.1323568889711652,0.0206487426787995,0.10843551188824888,110.80449767139591,138,-27.195502328604093,-0.19706885745365285,0.5579710144927537,1.0,0.5579710144927537,0.05757988669887011,101.0,111.0,120.64999999999999,0,2913,77
M2,STRONG,O1,AB,A,B,SYN005,0.03821407267407391,0.02,0.1323568889711652,0.006924307487397773,0.031733312370459434,150.562985009489,138,12.562985009489012,0.09103612325716676,0.8333333333333334,0.9745762711864406,0.8156028368794326,0.05994424595207831,141.35,151.0,161.0,0,2913,118
M0,STRONG,O1,AB,A,B,SYN006,,,,0.01132852729145211,0.15651037707321008,33.0,66,-33.0,-0.5,0.5,1.0,0.5,1.4815510057997035e-05,33.0,33.0,33.0,0,2913,33
M1,STRONG,O1,AB,A,B,SYN006,0.01628840827046758,0.02,0.14514084235780308,0.011239078004449577,0.06519861557695193,46.405544870818304,66,-19.594455129181696,-0.29688568377548025,0.5,1.0,0.5,0.026878527461407314,42.0,46.5,53.0,0,2913,33
M2,STRONG,O1,AB,A,B,SYN006,0.01628840827046758,0.02,0.14514084235780308,0.004909339137649598,0.020246004581120285,60.64906166684469,66,-5.350938333155312,-0.08107482322962595,0.7121212121212122,1.0,0.7121212121212122,0.028245063720239088,55.0,61.0,67.64999999999999,1,2913,47
M0,STRONG,O1,AB,A,B,SYN007,,,,0.03226913834534844,0.44581558923791664,36.0,130,-94.0,-0.7230769230769231,0.27692307692307694,1.0,0.27692307692307694,1.4815510057997413e-05,36.0,36.0,36.0,0,2913,36
M1,STRONG,O1,AB,A,B,SYN007,0.018749114101942896,0.02,0.13195230982200704,0.03172800245208834,0.16448957145863893,52.6216601714054,130,-77.37833982859459,-0.5952179986814968,0.27692307692307694,1.0,0.27692307692307694,0.03245389880123704,46.0,53.0,61.0,0,2913,36
M2,STRONG,O1,AB,A,B,SYN007,0.018749114101942896,0.02,0.13195230982200704,0.020433422707808,0.08311331740180396,78.6123527361798,130,-51.3876472638202,-0.39528959433707844,0.46923076923076923,0.9838709677419355,0.46564885496183206,0.03799619187833641,72.0,78.0,87.29999999999998,0,2913,62
M0,STRONG,O1,AB,A,B,SYN008,,,,0.015104703055269482,0.20868016943078016,78.0,122,-44.0,-0.36065573770491804,0.639344262295082,1.0,0.639344262295082,1.4815510058002725e-05,78.0,78.0,78.0,0,2913,78
M1,STRONG,O1,AB,A,B,SYN008,0.03937787860125623,0.02,0.12742314598637408,0.015111963626634637,0.08961995033398834,114.19494450236361,122,-7.805055497636388,-0.0639758647347245,0.639344262295082,1.0,0.639344262295082,0.06120477650040995,105.0,114.0,124.0,1,2913,78
M2,STRONG,O1,AB,A,B,SYN008,0.03937787860125623,0.02,0.12742314598637408,0.005779776215436445,0.02696024073947126,139.24321757166723,122,17.24321757166723,0.14133784894809207,0.8360655737704918,0.9532710280373832,0.8031496062992126,0.06429675968580348,129.0,139.0,150.0,0,2913,107
M0,STRONG,O1,AB,A,B,SYN009,,,,0.01888087881908685,0.26084996178835024,25.0,80,-55.0,-0.6875,0.3125,1.0,0.3125,1.4815510057996022e-05,25.0,25.0,25.0,0,2913,25
M1,STRONG,O1,AB,A,B,SYN009,0.012060539877250363,0.02,0.1857418972993778,0.018656360394649518,0.10565276591290242,33.05131720471792,80,-46.94868279528208,-0.586858534941026,0.3125,1.0,0.3125,0.017010097036496037,29.0,33.0,38.0,0,2913,25
M2,STRONG,O1,AB,A,B,SYN009,0.012060539877250363,0.02,0.1857418972993778,0.010676147340052365,0.04852746530762873,52.197490920857,80,-27.802509079143,-0.3475313634892875,0.575,1.0,0.575,0.019335466441367504,47.0,52.0,58.0,0,2913,46
M0,STRONG,O1,AB,A,B,SYN010,,,,0.012358393408856848,0.1707385022616383,68.0,104,-36.0,-0.34615384615384615,0.6538461538461539,1.0,0.6538461538461539,1.4815510058001463e-05,68.0,68.0,68.0,0,2913,68
M1,STRONG,O1,AB,A,B,SYN010,0.031793166217617054,0.02,0.16183533097207642,0.012237849236674883,0.07013192717583676,92.07364579241195,104,-11.926354207588048,-0.11467648276526969,0.6538461538461539,1.0,0.6538461538461539,0.04269495779533422,83.35,92.0,103.29999999999998,0,2913,68
M2,STRONG,O1,AB,A,B,SYN010,0.031793166217617054,0.02,0.16183533097207642,0.004050095454543022,0.02063411931380888,117.18653333961187,104,13.18653333961187,0.1267935898039603,0.9038461538461539,0.9791666666666666,0.8867924528301887,0.043591006553298596,110.0,117.0,126.0,0,2913,96
M0,STRONG,O1,AB,A,B,SYN011,,,,0.01991074493649159,0.2750780869767784,65.0,123,-58.0,-0.4715447154471545,0.5284552845528455,1.0,0.5284552845528455,1.4815510058001082e-05,65.0,65.0,65.0,0,2913,65
M1,STRONG,O1,AB,A,B,SYN011,0.03754147930664154,0.02,0.09276182375244077,0.02001482913463071,0.1204640059270138,108.59793493885826,123,-14.402065061141741,-0.11708995984668082,0.5284552845528455,1.0,0.5284552845528455,0.07353455455244907,99.0,109.0,120.0,0,2913,65
M2,STRONG,O1,AB,A,B,SYN011,0.03754147930664154,0.02,0.09276182375244077,0.0069431424448249445,0.03450111282532379,144.33346113313507,123,21.333461133135074,0.17344277344012254,0.7804878048780488,0.9795918367346939,0.768,0.08017720610818249,134.0,144.0,156.64999999999998,0,2913,98
M0,STRONG,O1,AB,A,B,SYN012,,,,0.037075180226570546,0.512213506783915,46.0,154,-108.0,-0.7012987012987013,0.2987012987012987,1.0,0.2987012987012987,1.4815510057998678e-05,46.0,46.0,46.0,0,2913,46
M1,STRONG,O1,AB,A,B,SYN012,0.02398573459950093,0.02,0.11957275012641523,0.03636819424048972,0.1826107338182482,68.94905067035401,154,-85.05094932964599,-0.552278891750948,0.2987012987012987,1.0,0.2987012987012987,0.042731160851108306,62.0,69.0,78.64999999999999,0,2913,46
M2,STRONG,O1,AB,A,B,SYN012,0.02398573459950093,0.02,0.11957275012641523,0.01782495976329572,0.06830506377817173,111.5717951891066,154,-42.428204810893405,-0.27550782344735975,0.5844155844155844,1.0,0.5844155844155844,0.052630218756215354,102.0,111.0,119.64999999999999,0,2913,90
M0,STRONG,O1,AB,A,B,SYN013,,,,0.01613456917267422,0.22290829461920836,79.0,126,-47.0,-0.373015873015873,0.626984126984127,1.0,0.626984126984127,1.4815510058002854e-05,79.0,79.0,79.0,0,2913,79
M1,STRONG,O1,AB,A,B,SYN013,0.03831485256496676,0.02,0.14264394694654622,0.01578799359035442,0.0840868916457884,111.1585959708306,126,-14.841404029169396,-0.11778892086642379,0.626984126984127,1.0,0.626984126984127,0.05483912237595098,100.0,110.0,120.0,0,2913,79
M2,STRONG,O1,AB,A,B,SYN013,0.03831485256496676,0.02,0.14264394694654622,0.0036137960642269812,0.020651989827104384,144.35280560875646,126,18.352805608756455,0.14565718737108296,0.9285714285714286,0.9831932773109243,0.9140625,0.05582274488145722,134.35,143.0,154.0,0,2913,119
M0,STRONG,O1,AB,A,B,SYN014,,,,0.015104703055269482,0.20868016943078016,81.0,125,-44.0,-0.352,0.648,1.0,0.648,1.4815510058003107e-05,81.0,81.0,81.0,0,2913,81
M1,STRONG,O1,AB,A,B,SYN014,0.03820292119192788,0.02,0.15525572927429176,0.015128004821040326,0.09199340383094437,110.89885986349498,125,-14.101140136505023,-0.1128091210920402,0.648,1.0,0.648,0.05104897747561936,102.0,110.0,118.64999999999999,0,2913,81
M2,STRONG,O1,AB,A,B,SYN014,0.03820292119192788,0.02,0.15525572927429176,0.005890677083121301,0.026964063988041014,135.94651036531434,125,10.946510365314339,0.08757208292251471,0.84,0.9905660377358491,0.8333333333333334,0.05438201884835342,128.0,136.0,144.0,0,2913,106
M0,STRONG,O1,AB,A,B,SYN015,,,,0.02368692070030896,0.3272478793343484,94.0,163,-69.0,-0.4233128834355828,0.5766871165644172,1.0,0.5766871165644172,1.4815510058004753e-05,94.0,94.0,94.0,0,2913,94
M1,STRONG,O1,AB,A,B,SYN015,0.040447482997611625,0.02,0.21916784165565253,0.023105426126545075,0.1245748995795045,117.84701898333536,163,-45.15298101666464,-0.2770121534764702,0.5766871165644172,1.0,0.5766871165644172,0.04024831385946709,110.35,119.0,126.29999999999998,0,2913,94
M2,STRONG,O1,AB,A,B,SYN015,0.040447482997611625,0.02,0.21916784165565253,0.011307579110530666,0.04603648912760054,144.06501054540874,163,-18.93498945459126,-0.11616557947602,0.7607361963190185,0.9841269841269841,0.7515151515151515,0.038103264778180664,135.7,144.0,151.64999999999998,0,2913,126
M0,STRONG,O1,AB,A,B,SYN016,,,,0.01991074493649159,0.27507808697677844,40.0,98,-58.0,-0.5918367346938775,0.40816326530612246,1.0,0.40816326530612246,1.4815510057997921e-05,40.0,40.0,40.0,0,2913,40
M1,STRONG,O1,AB,A,B,SYN016,0.017103431789425052,0.02,0.24617207515376643,0.019649069507811624,0.10880272615777438,49.03197327983784,98,-48.96802672016216,-0.499673742042471,0.40816326530612246,1.0,0.40816326530612246,0.01793701491517616,44.0,48.5,54.0,0,2913,40
M2,STRONG,O1,AB,A,B,SYN016,0.017103431789425052,0.02,0.24617207515376643,0.009301959907373557,0.03674700093855573,72.44903295943271,98,-25.550967040567286,-0.2607241534751764,0.673469387755102,1.0,0.673469387755102,0.020014992032699467,67.0,72.0,78.64999999999999,0,2913,66
M0,STRONG,O1,AB,A,B,SYN017,,,,0.01579128046687264,0.21816558622306564,122.0,168,-46.0,-0.27380952380952384,0.7261904761904762,1.0,0.7261904761904762,1.4815510058008294e-05,122.0,122.0,122.0,0,2913,122
M1,STRONG,O1,AB,A,B,SYN017,0.06711914312926823,0.02,0.10201905590624727,0.016562307134342636,0.10252833093533284,195.41123544329565,168,27.411235443295652,0.16316211573390269,0.7261904761904762,1.0,0.7261904761904762,0.10914727945509481,183.0,195.0,209.0,0,2913,122
M2,STRONG,O1,AB,A,B,SYN017,0.06711914312926823,0.02,0.10201905590624727,0.006446537290786458,0.04153625899603834,230.25266405968324,168,62.25266405968324,0.3705515717838288,0.9107142857142857,0.9503105590062112,0.8693181818181818,0.11307041428752548,215.35,229.5,245.0,0,2913,161
M0,STRONG,O1,AB,A,B,SYN018,,,,0.009955372468245795,0.13753954348863923,37.0,66,-29.0,-0.4393939393939394,0.5606060606060606,1.0,0.5606060606060606,1.4815510057997542e-05,37.0,37.0,37.0,0,2913,37
M1,STRONG,O1,AB,A,B,SYN018,0.02028470893384099,0.02,0.10779689811848371,0.009942682496674078,0.06364269227421514,58.04261641028492,66,-7.957383589715079,-0.12056641802598604,0.5606060606060606,1.0,0.5606060606060606,0.040274269930679514,52.0,58.0,66.64999999999999,1,2913,37
M2,STRONG,O1,AB,A,B,SYN018,0.02028470893384099,0.02,0.10779689811848371,0.0039058072309193503,0.018141735082829527,70.70795404335581,66,4.707954043355812,0.07133263702054261,0.7727272727272727,1.0,0.7727272727272727,0.04243200288404504,63.35,71.0,77.64999999999999,1,2913,51
M0,STRONG,O1,AB,A,B,SYN019,,,,0.013044970820460007,0.1802239190539238,35.0,73,-38.0,-0.5205479452054794,0.4794520547945205,1.0,0.4794520547945205,1.4815510057997288e-05,35.0,35.0,35.0,0,2913,35
M1,STRONG,O1,AB,A,B,SYN019,0.019446663786629865,0.02,0.10475458303174061,0.012898567633757338,0.0722410988501292,55.57352933126897,73,-17.426470668731028,-0.2387187762839867,0.4794520547945205,1.0,0.4794520547945205,0.039646814941405935,48.0,56.0,63.0,0,2913,35
M2,STRONG,O1,AB,A,B,SYN019,0.019446663786629865,0.02,0.10475458303174061,0.006217044256104644,0.026866898065608102,70.66663177183418,73,-2.333368228165824,-0.03196394833103869,0.6575342465753424,0.9795918367346939,0.6486486486486487,0.042948656123114916,62.35,71.0,80.64999999999999,1,2913,49
M0,STRONG,O1,AB,A,B,SYN020,,,,0.026089941640920013,0.3604468381073475,18.0,94,-76.0,-0.8085106382978723,0.19148936170212766,1.0,0.19148936170212766,1.4815510057995136e-05,18.0,18.0,18.0,0,2913,18
M1,STRONG,O1,AB,A,B,SYN020,0.008683181057480359,0.02,0.21599540747150311,0.025818483692004904,0.1433776036052059,23.128448963255007,94,-70.87155103674499,-0.7539526706036701,0.19148936170212766,1.0,0.19148936170212766,0.011405969122845427,20.0,23.0,26.64999999999999,0,2913,18
M2,STRONG,O1,AB,A,B,SYN020,0.008683181057480359,0.02,0.21599540747150311,0.019495908812911935,0.08791012863393195,35.77280532428097,94,-58.22719467571903,-0.6194382412310535,0.32978723404255317,1.0,0.32978723404255317,0.013577140666854191,31.35,36.0,41.0,0,2913,31
M0,STRONG,O1,AB,A,B,SYN021,,,,0.026433230346721594,0.3651895465034903,84.0,161,-77.0,-0.4782608695652174,0.5217391304347826,1.0,0.5217391304347826,1.4815510058003488e-05,84.0,84.0,84.0,0,2913,84
M1,STRONG,O1,AB,A,B,SYN021,0.04648144837226519,0.02,0.10075702131643798,0.026285141593177058,0.14169656712363626,134.86981910483962,161,-26.13018089516038,-0.16229926021838745,0.5217391304347826,1.0,0.5217391304347826,0.08226776334539239,125.35,135.0,148.0,0,2913,84
M2,STRONG,O1,AB,A,B,SYN021,0.04648144837226519,0.02,0.10075702131643798,0.009057769001798194,0.04270693086311764,181.17456550167407,161,20.174565501674067,0.12530786025884513,0.8074534161490683,0.9774436090225563,0.7926829268292683,0.08878473722204532,168.35,180.0,193.0,0,2913,133
M0,STRONG,O1,AB,A,B,SYN022,,,,0.030552694816340542,0.422102047257203,77.0,166,-89.0,-0.536144578313253,0.463855421686747,1.0,0.463855421686747,1.4815510058002602e-05,77.0,77.0,77.0,0,2913,77
M1,STRONG,O1,AB,A,B,SYN022,0.039760966724335406,0.02,0.11885105871046203,0.030118605631268516,0.15447249294662813,115.268648858774,166,-50.731351141226,-0.30561054904353013,0.463855421686747,1.0,0.463855421686747,0.06444335635862511,106.0,114.0,124.0,0,2913,77
M2,STRONG,O1,AB,A,B,SYN022,0.039760966724335406,0.02,0.11885105871046203,0.011894451316617736,0.04995919885959398,158.4473779330421,166,-7.552622066957895,-0.04549772329492708,0.7289156626506024,1.0,0.7289156626506024,0.07084212130394743,149.0,158.0,167.64999999999998,1,2913,121
M0,STRONG,O1,AB,A,B,SYN023,,,,0.018537590113285273,0.2561072533922075,116.0,170,-54.0,-0.3176470588235294,0.6823529411764706,1.0,0.6823529411764706,1.4815510058007535e-05,116.0,116.0,116.0,0,2913,116
M1,STRONG,O1,AB,A,B,SYN023,0.056316642650808234,0.02,0.1407332454073647,0.018438969841877578,0.10414487315989897,164.0567336848135,170,-5.9432663151864915,-0.034960390089332306,0.6823529411764706,1.0,0.6823529411764706,0.07537561324496368,152.35,163.0,175.0,1,2913,116
M2,STRONG,O1,AB,A,B,SYN023,0.056316642650808234,0.02,0.1407332454073647,0.005329493873138598,0.029465821882634885,198.01081185104917,170,28.01081185104917,0.16476948147675982,0.888235294117647,0.9805194805194806,0.8728323699421965,0.0752155759032077,189.35,200.0,208.64999999999998,0,2913,154
M0,STRONG,O1,AB,A,B,SYN024,,,,0.012701682114658427,0.17548121065778108,38.0,75,-37.0,-0.49333333333333335,0.5066666666666667,1.0,0.5066666666666667,1.4815510057997665e-05,38.0,38.0,38.0,0,2913,38
M1,STRONG,O1,AB,A,B,SYN024,0.020896513677397397,0.02,0.10712741348260478,0.012649223911945881,0.07967624794453047,59.83607807766049,75,-15.163921922339512,-0.2021856256311935,0.5066666666666667,1.0,0.5066666666666667,0.04157733040056719,52.35,60.0,67.0,0,2913,38
M2,STRONG,O1,AB,A,B,SYN024,0.020896513677397397,0.02,0.10712741348260478,0.007298942337327633,0.03309563630497096,71.98731406593392,75,-3.0126859340660843,-0.040169145787547794,0.6533333333333333,0.98,0.6447368421052632,0.044306884623555504,66.0,72.0,80.64999999999999,1,2913,50
M0,STRONG,O1,AB,A,B,SYN025,,,,0.025746652935118436,0.3557041297112048,57.0,132,-75.0,-0.5681818181818182,0.4318181818181818,1.0,0.4318181818181818,1.4815510058000073e-05,57.0,57.0,57.0,0,2913,57
M1,STRONG,O1,AB,A,B,SYN025,0.025027655370972644,0.02,0.2076492511784057,0.025365089979563247,0.1410874698940065,72.31928076552464,132,-59.68071923447536,-0.4521266608672376,0.4318181818181818,1.0,0.4318181818181818,0.028435334318452462,67.0,72.0,79.0,0,2913,57
M2,STRONG,O1,AB,A,B,SYN025,0.025027655370972644,0.02,0.2076492511784057,0.016092981298419604,0.06097554784493136,89.50191136829164,132,-42.498088631708356,-0.3219552169068815,0.5681818181818182,1.0,0.5681818181818182,0.030655707326449746,84.0,90.0,96.64999999999999,0,2913,75
M0,STRONG,O1,AB,A,B,SYN026,,,,0.02368692070030896,0.3272478793343484,58.0,127,-69.0,-0.5433070866141733,0.4566929133858268,1.0,0.4566929133858268,1.4815510058000198e-05,58.0,58.0,58.0,0,2913,58
M1,STRONG,O1,AB,A,B,SYN026,0.02698943959584296,0.02,0.16546196866856375,0.023259125191313977,0.12097995112690164,77.95143056820258,127,-49.04856943179742,-0.38620920812438914,0.4566929133858268,1.0,0.4566929133858268,0.0365355246473033,71.35,78.0,84.64999999999999,0,2913,58
M2,STRONG,O1,AB,A,B,SYN026,0.02698943959584296,0.02,0.16546196866856375,0.010630359946509035,0.044449156378870563,108.34242929948236,127,-18.65757070051764,-0.14691000551588693,0.7007874015748031,1.0,0.7007874015748031,0.03965943319665887,101.0,108.0,115.0,0,2913,89
M0,STRONG,O1,AB,A,B,SYN027,,,,0.027806385169927908,0.38416038008806114,66.0,147,-81.0,-0.5510204081632653,0.4489795918367347,1.0,0.4489795918367347,1.4815510058001211e-05,66.0,66.0,66.0,0,2913,66
M1,STRONG,O1,AB,A,B,SYN027,0.03504166006027465,0.02,0.11220734630631655,0.027559235478010535,0.15005420225422877,101.37585476131393,147,-45.62414523868607,-0.3103683349570481,0.4489795918367347,1.0,0.4489795918367347,0.06102849843663385,92.35,100.0,110.29999999999998,0,2913,66
M2,STRONG,O1,AB,A,B,SYN027,0.03504166006027465,0.02,0.11220734630631655,0.014660171778564272,0.060677020564293666,129.37260647717855,147,-17.62739352282145,-0.1199142416518466,0.6258503401360545,1.0,0.6258503401360545,0.0659071520642631,119.0,129.0,139.64999999999998,0,2913,92
M0,STRONG,O1,AB,A,B,SYN028,,,,0.032955715756951595,0.45530100603020207,76.0,172,-96.0,-0.5581395348837209,0.4418604651162791,1.0,0.4418604651162791,1.4815510058002473e-05,76.0,76.0,76.0,0,2913,76
M1,STRONG,O1,AB,A,B,SYN028,0.039124384406452765,0.02,0.11995138683585489,0.03205042672933607,0.15156684194750933,113.40611336739329,172,-58.59388663260671,-0.34066213158492276,0.4418604651162791,1.0,0.4418604651162791,0.06327515240434864,104.0,113.0,122.0,0,2913,76
M2,STRONG,O1,AB,A,B,SYN028,0.039124384406452765,0.02,0.11995138683585489,0.013388635670206529,0.052409626409992804,161.26927112999743,172,-10.730728870002565,-0.06238795854652654,0.7267441860465116,0.9615384615384616,0.7062146892655368,0.06955970932601442,151.0,161.0,171.0,0,2913,130
M0,STRONG,O1,AB,A,B,SYN029,,,,0.023000343288705802,0.317762462542063,64.0,131,-67.0,-0.5114503816793893,0.48854961832061067,1.0,0.48854961832061067,1.4815510058000955e-05,64.0,64.0,64.0,0,2913,64
M1,STRONG,O1,AB,A,B,SYN029,0.02656262101561997,0.02,0.2680893282850884,0.02258122279767532,0.12042196842149172,77.04293151551916,131,-53.95706848448084,-0.41188601896550264,0.48854961832061067,1.0,0.48854961832061067,0.023859436598721254,72.0,76.0,82.0,0,2913,64
M2,STRONG,O1,AB,A,B,SYN029,0.02656262101561997,0.02,0.2680893282850884,0.01130270016271469,0.04473162487908848,103.76851773062238,131,-27.231482269377622,-0.20787391045326428,0.6946564885496184,0.9891304347826086,0.6893939393939394,0.024881815955836717,98.0,103.0,111.0,0,2913,92
M0,STRONG,O1,AB,A,B,SYN030,,,,0.007552351527634741,0.10434058471564009,66.0,88,-22.0,-0.25,0.75,1.0,0.75,1.4815510058001211e-05,66.0,66.0,66.0,0,2913,66
M1,STRONG,O1,AB,A,B,SYN030,0.03512795220336772,0.02,0.1119783100145774,0.007759529523539644,0.05553338174705464,101.62789832054315,88,13.627898320543153,0.1548624809152631,0.75,1.0,0.75,0.061442911675642635,93.0,101.0,109.64999999999999,0,2913,66
M2,STRONG,O1,AB,A,B,SYN030,0.03512795220336772,0.02,0.1119783100145774,0.003194198070260247,0.02033707955324164,115.2581288897915,88,27.258128889791493,0.3097514646567215,0.8863636363636364,0.9512195121951219,0.8478260869565217,0.06312165365451139,105.35,115.0,125.0,0,2913,82
M0,STRONG,O1,AB,A,B,SYN031,,,,0.018537590113285273,0.25610725339220747,32.0,86,-54.0,-0.627906976744186,0.37209302325581395,1.0,0.37209302325581395,1.4815510057996908e-05,32.0,32.0,32.0,0,2913,32
M1,STRONG,O1,AB,A,B,SYN031,0.016621675379475565,0.02,0.12548665072055623,0.01838711313950064,0.10694806186892279,47.33687412448222,86,-38.66312587551778,-0.4495712311106718,0.37209302325581395,1.0,0.37209302325581395,0.030553451514149996,40.35,47.0,54.64999999999999,0,2913,32
M2,STRONG,O1,AB,A,B,SYN031,0.016621675379475565,0.02,0.12548665072055623,0.011537093026993812,0.04706777602889453,63.56155978835021,86,-22.43844021164979,-0.2609120954842999,0.5465116279069767,0.9791666666666666,0.5402298850574713,0.03342693697935106,58.0,64.0,72.0,0,2913,48
M0,STRONG,O1,AB,A,B,SYN032,,,,0.026433230346721594,0.3651895465034903,91.0,168,-77.0,-0.4583333333333333,0.5416666666666666,1.0,0.5416666666666666,1.4815510058004374e-05,91.0,91.0,91.0,0,2913,91
M1,STRONG,O1,AB,A,B,SYN032,0.04907710223945557,0.02,0.10698328786145357,0.026137761689288656,0.13651695519329568,142.53116987063774,168,-25.46883012936226,-0.15160017934144202,0.5416666666666666,1.0,0.5416666666666666,0.08257334464888542,131.0,142.0,154.0,0,2913,91
M2,STRONG,O1,AB,A,B,SYN032,0.04907710223945557,0.02,0.10698328786145357,0.010219345972385021,0.04654147810602268,176.07541729116636,168,8.07541729116636,0.04806796006646643,0.7738095238095238,1.0,0.7738095238095238,0.08577513216978669,164.35,175.5,188.64999999999998,1,2913,130
M0,STRONG,O1,AB,A,B,SYN033,,,,0.024030209406110538,0.3319905877304911,78.0,148,-70.0,-0.47297297297297297,0.527027027027027,1.0,0.527027027027027,1.4815510058002725e-05,78.0,78.0,78.0,0,2913,78
M1,STRONG,O1,AB,A,B,SYN033,0.04086562475895645,0.02,0.11443026805423319,0.023777506764385004,0.12533822586989496,118.48436259166803,148,-29.51563740833197,-0.1994299824887295,0.527027027027027,1.0,0.527027027027027,0.06769081186010097,109.0,118.0,127.0,0,2913,78
M2,STRONG,O1,AB,A,B,SYN033,0.04086562475895645,0.02,0.11443026805423319,0.007725610575163807,0.03638540721946038,158.31011249094882,148,10.310112490948825,0.0696629222361407,0.8040540540540541,1.0,0.8040540540540541,0.07312643664346029,148.0,159.0,170.0,1,2913,119
M0,STRONG,O1,AB,A,B,SYN034,,,,0.01888087881908685,0.26084996178835024,62.0,117,-55.0,-0.4700854700854701,0.5299145299145299,1.0,0.5299145299145299,1.4815510058000703e-05,62.0,62.0,62.0,0,2913,62
M1,STRONG,O1,AB,A,B,SYN034,0.034863439845740245,0.02,0.09872910136418907,0.018606557529027096,0.09960438203263261,100.77874444156187,117,-16.22125555843813,-0.1386432099011806,0.5299145299145299,1.0,0.5299145299145299,0.06664281147639234,94.0,101.0,111.64999999999999,0,2913,62
M2,STRONG,O1,AB,A,B,SYN034,0.034863439845740245,0.02,0.09872910136418907,0.009672330714328414,0.04441861064820589,124.13806230910967,117,7.138062309109671,0.061009079565039925,0.7264957264957265,0.9659090909090909,0.7083333333333334,0.07035089034972278,113.0,124.0,135.0,1,2913,88
M0,STRONG,O1,AB,A,B,SYN035,,,,0.036731891520768965,0.5074707983877721,21.0,128,-107.0,-0.8359375,0.1640625,1.0,0.1640625,1.4815510057995517e-05,21.0,21.0,21.0,0,2913,21
