model,world,observation_regime,orientation,source_fold,target_fold,synthetic_species_id,occupancy_pi_estimate,beta_binomial_rho,encounter_q_mean,brier_score,log_loss,expected_support_size,true_support_size,expected_support_size_bias,expected_support_size_relative_bias,occupied_cell_recall,precision,iou_jaccard,posterior_entropy_mean,support_size_q05,support_size_q50,support_size_q95,truth_size_within_q05_q95,target_cells,predicted_cells_at_0_5
M2,PAIRED_NULL,O3,AB,A,B,SYN044,0.02874509586231678,0.02,0.10966979988912551,0.009095928616057583,0.03919083227283851,116.7682548445418,119,-2.2317451554581993,-0.01875416097023697,0.7394957983193278,0.9887640449438202,0.7333333333333333,0.05819493210522887,106.35,118.0,126.0,1,2913,89
M0,PAIRED_NULL,O3,AB,A,B,SYN045,,,,0.01613456917267422,0.22290829461920833,31.0,78,-47.0,-0.6025641025641025,0.3974358974358974,1.0,0.3974358974358974,1.481551005799678e-05,31.0,31.0,31.0,0,2913,31
M1,PAIRED_NULL,O3,AB,A,B,SYN045,0.017126512292292163,0.02,0.10971139034756525,0.015922147772220403,0.0852830356313086,48.804123820707176,78,-29.195876179292824,-0.37430610486272853,0.3974358974358974,1.0,0.3974358974358974,0.035079857571218676,41.35,48.0,56.0,0,2913,31
M2,PAIRED_NULL,O3,AB,A,B,SYN045,0.017126512292292163,0.02,0.10971139034756525,0.005920176792314883,0.024124018122244902,76.94991078840548,78,-1.0500892115945248,-0.013462682199929805,0.7435897435897436,0.9508196721311475,0.7160493827160493,0.040287412931857336,68.35,78.0,85.0,1,2913,61
M0,PAIRED_NULL,O3,AB,A,B,SYN046,,,,0.027806385169927908,0.38416038008806114,19.0,100,-81.0,-0.81,0.19,1.0,0.19,1.4815510057995263e-05,19.0,19.0,19.0,0,2913,19
M1,PAIRED_NULL,O3,AB,A,B,SYN046,0.012799159230027836,0.02,0.07658976625469086,0.027483491958612966,0.14825951786876104,36.02225363356789,100,-63.97774636643211,-0.6397774636643211,0.19,1.0,0.19,0.03471507278120926,30.0,36.0,42.64999999999999,0,2913,19
M2,PAIRED_NULL,O3,AB,A,B,SYN046,0.012799159230027836,0.02,0.07658976625469086,0.018829732410971647,0.07878746433790147,56.09612122510243,100,-43.90387877489757,-0.4390387877489757,0.36,1.0,0.36,0.041758381931750146,49.0,56.0,63.0,0,2913,36
M0,PAIRED_NULL,O3,AB,A,B,SYN047,,,,0.023000343288705802,0.317762462542063,89.0,156,-67.0,-0.42948717948717946,0.5705128205128205,1.0,0.5705128205128205,1.4815510058004121e-05,89.0,89.0,89.0,0,2913,89
M1,PAIRED_NULL,O3,AB,A,B,SYN047,0.04945618052290152,0.02,0.10191947550423558,0.022663604545652062,0.11594138904495742,143.67627954735514,156,-12.323720452644864,-0.07899820802977477,0.5705128205128205,1.0,0.5705128205128205,0.0870525510162508,134.0,145.0,156.64999999999998,1,2913,89
M2,PAIRED_NULL,O3,AB,A,B,SYN047,0.04945618052290152,0.02,0.10191947550423558,0.009035690471993091,0.04723985416302618,186.45985619211257,156,30.459856192112568,0.195255488410978,0.8461538461538461,0.9777777777777777,0.8301886792452831,0.08901565715231188,175.35,186.0,199.0,0,2913,135
