model,world,observation_regime,orientation,bin_index,bin_lower,bin_upper,n_cell_predictions,mean_predicted_probability,observed_occupancy_fraction,absolute_calibration_gap
M0,STRONG,O1,BA,6,0.5,0.6,0,,,
M0,STRONG,O1,BA,7,0.6,0.7,0,,,
M0,STRONG,O1,BA,8,0.7,0.8,0,,,
M0,STRONG,O1,BA,9,0.8,0.9,0,,,
M0,STRONG,O1,BA,10,0.9,1.0,4756,1.0,1.0,0.0
M0,STRONG,O2,AB,1,0.0,0.1,206205,0.0,0.024524138599936955,0.024524138599936955
M0,STRONG,O2,AB,2,0.1,0.2,0,,,
M0,STRONG,O2,AB,3,0.2,0.3,0,,,
M0,STRONG,O2,AB,4,0.3,0.4,0,,,
M0,STRONG,O2,AB,5,0.4,0.5,0,,,
M0,STRONG,O2,AB,6,0.5,0.6,0,,,
M0,STRONG,O2,AB,7,0.6,0.7,0,,,
M0,STRONG,O2,AB,8,0.7,0.8,0,,,
M0,STRONG,O2,AB,9,0.8,0.9,0,,,
M0,STRONG,O2,AB,10,0.9,1.0,3531,1.0,1.0,0.0
M0,STRONG,O2,BA,1,0.0,0.1,201269,0.0,0.02078313103359186,0.02078313103359186
M0,STRONG,O2,BA,2,0.1,0.2,0,,,
M0,STRONG,O2,BA,3,0.2,0.3,0,,,
M0,STRONG,O2,BA,4,0.3,0.4,0,,,
M0,STRONG,O2,BA,5,0.4,0.5,0,,,
M0,STRONG,O2,BA,6,0.5,0.6,0,,,
M0,STRONG,O2,BA,7,0.6,0.7,0,,,
M0,STRONG,O2,BA,8,0.7,0.8,0,,,
M0,STRONG,O2,BA,9,0.8,0.9,0,,,
M0,STRONG,O2,BA,10,0.9,1.0,4291,1.0,1.0,0.0
M0,STRONG,O3,AB,1,0.0,0.1,206052,0.0,0.023799817521790615,0.023799817521790615
M0,STRONG,O3,AB,2,0.1,0.2,0,,,
M0,STRONG,O3,AB,3,0.2,0.3,0,,,
M0,STRONG,O3,AB,4,0.3,0.4,0,,,
M0,STRONG,O3,AB,5,0.4,0.5,0,,,
M0,STRONG,O3,AB,6,0.5,0.6,0,,,
M0,STRONG,O3,AB,7,0.6,0.7,0,,,
M0,STRONG,O3,AB,8,0.7,0.8,0,,,
M0,STRONG,O3,AB,9,0.8,0.9,0,,,
M0,STRONG,O3,AB,10,0.9,1.0,3684,1.0,1.0,0.0
M0,STRONG,O3,BA,1,0.0,0.1,200972,0.0,0.019336026909221184,0.019336026909221184
M0,STRONG,O3,BA,2,0.1,0.2,0,,,
M0,STRONG,O3,BA,3,0.2,0.3,0,,,
M0,STRONG,O3,BA,4,0.3,0.4,0,,,
M0,STRONG,O3,BA,5,0.4,0.5,0,,,
M0,STRONG,O3,BA,6,0.5,0.6,0,,,
M0,STRONG,O3,BA,7,0.6,0.7,0,,,
M0,STRONG,O3,BA,8,0.7,0.8,0,,,
M0,STRONG,O3,BA,9,0.8,0.9,0,,,
M0,STRONG,O3,BA,10,0.9,1.0,4588,1.0,1.0,0.0
M1,PAIRED_NULL,O1,AB,1,0.0,0.1,205753,0.010059916240949457,0.022381204648291884,0.012321288407342427
M1,PAIRED_NULL,O1,AB,2,0.1,0.2,0,,,
M1,PAIRED_NULL,O1,AB,3,0.2,0.3,0,,,
M1,PAIRED_NULL,O1,AB,4,0.3,0.4,0,,,
M1,PAIRED_NULL,O1,AB,5,0.4,0.5,0,,,
M1,PAIRED_NULL,O1,AB,6,0.5,0.6,0,,,
M1,PAIRED_NULL,O1,AB,7,0.6,0.7,0,,,
M1,PAIRED_NULL,O1,AB,8,0.7,0.8,0,,,
M1,PAIRED_NULL,O1,AB,9,0.8,0.9,0,,,
M1,PAIRED_NULL,O1,AB,10,0.9,1.0,3983,0.9999990000000002,1.0,9.99999999806711e-07
M1,PAIRED_NULL,O1,BA,1,0.0,0.1,200925,0.009852765028011691,0.01910663182779644,0.00925386679978475
M1,PAIRED_NULL,O1,BA,2,0.1,0.2,0,,,
M1,PAIRED_NULL,O1,BA,3,0.2,0.3,0,,,
M1,PAIRED_NULL,O1,BA,4,0.3,0.4,0,,,
M1,PAIRED_NULL,O1,BA,5,0.4,0.5,0,,,
M1,PAIRED_NULL,O1,BA,6,0.5,0.6,0,,,
M1,PAIRED_NULL,O1,BA,7,0.6,0.7,0,,,
M1,PAIRED_NULL,O1,BA,8,0.7,0.8,0,,,
M1,PAIRED_NULL,O1,BA,9,0.8,0.9,0,,,
M1,PAIRED_NULL,O1,BA,10,0.9,1.0,4635,0.9999989999999997,1.0,1.0000000002508003e-06
M1,PAIRED_NULL,O2,AB,1,0.0,0.1,206293,0.012351250728371893,0.024940254880194676,0.012589004151822783
M1,PAIRED_NULL,O2,AB,2,0.1,0.2,0,,,
M1,PAIRED_NULL,O2,AB,3,0.2,0.3,0,,,
M1,PAIRED_NULL,O2,AB,4,0.3,0.4,0,,,
M1,PAIRED_NULL,O2,AB,5,0.4,0.5,0,,,
M1,PAIRED_NULL,O2,AB,6,0.5,0.6,0,,,
M1,PAIRED_NULL,O2,AB,7,0.6,0.7,0,,,
M1,PAIRED_NULL,O2,AB,8,0.7,0.8,0,,,
M1,PAIRED_NULL,O2,AB,9,0.8,0.9,0,,,
M1,PAIRED_NULL,O2,AB,10,0.9,1.0,3443,0.9999990000000001,1.0,9.999999999177334e-07
M1,PAIRED_NULL,O2,BA,1,0.0,0.1,201345,0.01231026263029736,0.021152747771238423,0.008842485140941063
M1,PAIRED_NULL,O2,BA,2,0.1,0.2,0,,,
M1,PAIRED_NULL,O2,BA,3,0.2,0.3,0,,,
M1,PAIRED_NULL,O2,BA,4,0.3,0.4,0,,,
M1,PAIRED_NULL,O2,BA,5,0.4,0.5,0,,,
M1,PAIRED_NULL,O2,BA,6,0.5,0.6,0,,,
M1,PAIRED_NULL,O2,BA,7,0.6,0.7,0,,,
M1,PAIRED_NULL,O2,BA,8,0.7,0.8,0,,,
M1,PAIRED_NULL,O2,BA,9,0.8,0.9,0,,,
M1,PAIRED_NULL,O2,BA,10,0.9,1.0,4215,0.9999990000000002,1.0,9.99999999806711e-07
M1,PAIRED_NULL,O3,AB,1,0.0,0.1,206189,0.012166651662173938,0.024448442933425157,0.01228179127125122
M1,PAIRED_NULL,O3,AB,2,0.1,0.2,0,,,
M1,PAIRED_NULL,O3,AB,3,0.2,0.3,0,,,
M1,PAIRED_NULL,O3,AB,4,0.3,0.4,0,,,
M1,PAIRED_NULL,O3,AB,5,0.4,0.5,0,,,
M1,PAIRED_NULL,O3,AB,6,0.5,0.6,0,,,
M1,PAIRED_NULL,O3,AB,7,0.6,0.7,0,,,
M1,PAIRED_NULL,O3,AB,8,0.7,0.8,0,,,
M1,PAIRED_NULL,O3,AB,9,0.8,0.9,0,,,
M1,PAIRED_NULL,O3,AB,10,0.9,1.0,3547,0.9999990000000002,1.0,9.99999999806711e-07
M1,PAIRED_NULL,O3,BA,1,0.0,0.1,200997,0.01316267684756938,0.01945800186072429,0.00629532501315491
M1,PAIRED_NULL,O3,BA,2,0.1,0.2,0,,,
M1,PAIRED_NULL,O3,BA,3,0.2,0.3,0,,,
M1,PAIRED_NULL,O3,BA,4,0.3,0.4,0,,,
M1,PAIRED_NULL,O3,BA,5,0.4,0.5,0,,,
M1,PAIRED_NULL,O3,BA,6,0.5,0.6,0,,,
M1,PAIRED_NULL,O3,BA,7,0.6,0.7,0,,,
M1,PAIRED_NULL,O3,BA,8,0.7,0.8,0,,,
M1,PAIRED_NULL,O3,BA,9,0.8,0.9,0,,,
M1,PAIRED_NULL,O3,BA,10,0.9,1.0,4563,0.9999990000000001,1.0,9.999999999177334e-07
M1,STRONG,O1,AB,1,0.0,0.1,205632,0.009491359620391333,0.021805944600062247,0.012314584979670914
M1,STRONG,O1,AB,2,0.1,0.2,0,,,
M1,STRONG,O1,AB,3,0.2,0.3,0,,,
M1,STRONG,O1,AB,4,0.3,0.4,0,,,
M1,STRONG,O1,AB,5,0.4,0.5,0,,,
M1,STRONG,O1,AB,6,0.5,0.6,0,,,
M1,STRONG,O1,AB,7,0.6,0.7,0,,,
M1,STRONG,O1,AB,8,0.7,0.8,0,,,
M1,STRONG,O1,AB,9,0.8,0.9,0,,,
M1,STRONG,O1,AB,10,0.9,1.0,4104,0.9999990000000003,1.0,9.999999996956888e-07
M1,STRONG,O1,BA,1,0.0,0.1,200804,0.009051256277278315,0.01851556741897572,0.009464311141697403
M1,STRONG,O1,BA,2,0.1,0.2,0,,,
M1,STRONG,O1,BA,3,0.2,0.3,0,,,
M1,STRONG,O1,BA,4,0.3,0.4,0,,,
M1,STRONG,O1,BA,5,0.4,0.5,0,,,
M1,STRONG,O1,BA,6,0.5,0.6,0,,,
M1,STRONG,O1,BA,7,0.6,0.7,0,,,
M1,STRONG,O1,BA,8,0.7,0.8,0,,,
M1,STRONG,O1,BA,9,0.8,0.9,0,,,
