model,world,observation_regime,orientation,bin_index,bin_lower,bin_upper,n_cell_predictions,mean_predicted_probability,observed_occupancy_fraction,absolute_calibration_gap
M2,STRONG,O2,BA,2,0.1,0.2,471,0.14519380056560344,0.5222929936305732,0.3770991930649698
M2,STRONG,O2,BA,3,0.2,0.3,382,0.2522823025548503,0.45287958115183247,0.20059727859698218
M2,STRONG,O2,BA,4,0.3,0.4,401,0.34922967808686867,0.5062344139650873,0.15700473587821862
M2,STRONG,O2,BA,5,0.4,0.5,341,0.4477696044587745,0.624633431085044,0.17686382662626948
M2,STRONG,O2,BA,6,0.5,0.6,294,0.5502218854196101,0.7857142857142857,0.23549240029467555
M2,STRONG,O2,BA,7,0.6,0.7,253,0.6483991963333673,0.8300395256916996,0.1816403293583323
M2,STRONG,O2,BA,8,0.7,0.8,252,0.7519800449437897,0.8134920634920635,0.06151201854827382
M2,STRONG,O2,BA,9,0.8,0.9,433,0.8565080043782857,0.7713625866050808,0.08514541777320483
M2,STRONG,O2,BA,10,0.9,1.0,5672,0.9926344395758835,0.9938293370944993,0.0011948975186157895
M2,STRONG,O3,AB,1,0.0,0.1,201846,0.01173310712839548,0.008030875023532792,0.0037022321048626877
M2,STRONG,O3,AB,2,0.1,0.2,500,0.14570175371956642,0.52,0.3742982462804336
M2,STRONG,O3,AB,3,0.2,0.3,431,0.2520232018421361,0.4918793503480278,0.2398561485058917
M2,STRONG,O3,AB,4,0.3,0.4,417,0.34734289868808993,0.6163069544364509,0.26896405574836096
M2,STRONG,O3,AB,5,0.4,0.5,333,0.44815902579247374,0.6666666666666666,0.2185076408741929
M2,STRONG,O3,AB,6,0.5,0.6,285,0.5493467379690864,0.8035087719298246,0.2541620339607382
M2,STRONG,O3,AB,7,0.6,0.7,244,0.6524702671521436,0.9016393442622951,0.24916907711015146
M2,STRONG,O3,AB,8,0.7,0.8,256,0.7548096064935215,0.84765625,0.09284664350647853
M2,STRONG,O3,AB,9,0.8,0.9,404,0.8556298735743887,0.8688118811881188,0.013182007613730118
M2,STRONG,O3,AB,10,0.9,1.0,5020,0.9918618759101211,0.9958167330677291,0.003954857157608016
M2,STRONG,O3,BA,1,0.0,0.1,196931,0.012434409782341315,0.005062686930955513,0.007371722851385803
M2,STRONG,O3,BA,2,0.1,0.2,499,0.1406404959651063,0.5210420841683366,0.38040158820323033
M2,STRONG,O3,BA,3,0.2,0.3,381,0.25023765098144923,0.3648293963254593,0.11459174534401007
M2,STRONG,O3,BA,4,0.3,0.4,391,0.3499656694296764,0.4629156010230179,0.11294993159334149
M2,STRONG,O3,BA,5,0.4,0.5,336,0.44931750366877504,0.5833333333333334,0.13401582966455833
M2,STRONG,O3,BA,6,0.5,0.6,252,0.5491459555601025,0.7420634920634921,0.1929175365033896
M2,STRONG,O3,BA,7,0.6,0.7,239,0.6531255510409841,0.7949790794979079,0.14185352845692378
M2,STRONG,O3,BA,8,0.7,0.8,258,0.7504229335338427,0.7829457364341085,0.03252280290026577
M2,STRONG,O3,BA,9,0.8,0.9,432,0.8540526954289341,0.7314814814814815,0.12257121394745263
M2,STRONG,O3,BA,10,0.9,1.0,5841,0.9937396231253421,0.9940078753638075,0.00026825223846538293
