state_abbr,component_evalid,assignment_cn,plt_cn,assignment_statecd,assignment_invyr,plot_statecd,plot_invyr,p2panel,estn_unit,stratumcd,stratum_cn,plot_fk_resolved,retained_without_rewrite,rule_selected_fold,design_membership,blocking_status,v01_rule_selected_fold,v02_final_fold,fold_membership_changed,record_treatment_v02
OR,412301,1977569655290487,24470021010900,41,2013,41,2003,5,3,180,1977569646290487,YES,YES,A,RETAINED_IN_RULE_SELECTED_WHOLE_PANEL_DESIGN,NONBLOCKING_RESOLVED_PLOT_FK,A,B,YES,RETAINED_UNCHANGED_NONBLOCKING_PLOT_FK_RESOLVED
OR,412301,1977570123290487,24385743010900,41,2013,41,2003,5,3,180,1977569646290487,YES,YES,A,RETAINED_IN_RULE_SELECTED_WHOLE_PANEL_DESIGN,NONBLOCKING_RESOLVED_PLOT_FK,A,B,YES,RETAINED_UNCHANGED_NONBLOCKING_PLOT_FK_RESOLVED
OR,412301,1977571690290487,24385837010900,41,2013,41,2003,5,3,195,1977571652290487,YES,YES,A,RETAINED_IN_RULE_SELECTED_WHOLE_PANEL_DESIGN,NONBLOCKING_RESOLVED_PLOT_FK,A,B,YES,RETAINED_UNCHANGED_NONBLOCKING_PLOT_FK_RESOLVED
OR,412301,1977565716290487,24359830010900,41,2013,41,2003,5,3,127,1977563668290487,YES,YES,A,RETAINED_IN_RULE_SELECTED_WHOLE_PANEL_DESIGN,NONBLOCKING_RESOLVED_PLOT_FK,A,B,YES,RETAINED_UNCHANGED_NONBLOCKING_PLOT_FK_RESOLVED
