direction,fold,stress_tier,individual_rows,case_count,species_count,individual_exact_zero_fraction,individual_median_tv,individual_p95_tv,individual_max_tv,envelope_median_tv,envelope_p95_tv,envelope_max_tv,envelope_species_positive_count,seal_sha256
AB,B,E_OBSERVED,194,2,97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99ee459e4640c29ac96549d6de8973783102aae6ae2d0b9724dd15be4818f27c
AB,B,E_P95,194,2,97,0.0,0.04630578210793991,0.07939577565931182,0.07939577565931182,0.09261156421587981,0.09261156421587981,0.09261156421587981,97,99ee459e4640c29ac96549d6de8973783102aae6ae2d0b9724dd15be4818f27c
AB,B,E_EMPIRICAL_MAX,194,2,97,0.0,0.512884926147333,1.0,1.0,1.0,1.0,1.0,97,99ee459e4640c29ac96549d6de8973783102aae6ae2d0b9724dd15be4818f27c
BA,A,E_OBSERVED,2134,22,97,0.9995313964386129,0.0,0.0,0.012672747696756779,0.0,0.0,0.012672747696756779,1,99ee459e4640c29ac96549d6de8973783102aae6ae2d0b9724dd15be4818f27c
BA,A,E_P95,2134,22,97,0.0,0.07939577565931182,0.0846871277464994,0.38169362951953767,1.0,1.0,1.0,97,99ee459e4640c29ac96549d6de8973783102aae6ae2d0b9724dd15be4818f27c
BA,A,E_EMPIRICAL_MAX,2134,22,97,0.0,1.0,1.0,1.0,1.0,1.0,1.0,97,99ee459e4640c29ac96549d6de8973783102aae6ae2d0b9724dd15be4818f27c
