FIA_SPCD,accepted_scientific_name,stress_tier,AB_fold_B_envelope_tv,BA_fold_A_envelope_tv,max_direction_envelope_tv,abs_AB_minus_BA_envelope_tv,AB_fold_discrepancy_tv,max_stress_to_fold_discrepancy_ratio,comparison_class
106,Pinus edulis,E_OBSERVED,0.0,0.0,0.0,0.0,0.17643220215445113,0.0,POSITIVE_FOLD_DISCREPANCY
106,Pinus edulis,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.17643220215445113,5.667899554552895,POSITIVE_FOLD_DISCREPANCY
106,Pinus edulis,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.17643220215445113,5.667899554552895,POSITIVE_FOLD_DISCREPANCY
107,Pinus clausa,E_OBSERVED,0.0,0.0,0.0,0.0,0.35734108584753566,0.0,POSITIVE_FOLD_DISCREPANCY
107,Pinus clausa,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.35734108584753566,2.798446749072295,POSITIVE_FOLD_DISCREPANCY
107,Pinus clausa,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.35734108584753566,2.798446749072295,POSITIVE_FOLD_DISCREPANCY
110,Pinus echinata,E_OBSERVED,0.0,0.0,0.0,0.0,0.27159872348165875,0.0,POSITIVE_FOLD_DISCREPANCY
110,Pinus echinata,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.27159872348165875,3.681902430103029,POSITIVE_FOLD_DISCREPANCY
110,Pinus echinata,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.27159872348165875,3.681902430103029,POSITIVE_FOLD_DISCREPANCY
111,Pinus elliottii,E_OBSERVED,0.0,0.0,0.0,0.0,0.2450107177119591,0.0,POSITIVE_FOLD_DISCREPANCY
111,Pinus elliottii,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.2450107177119591,4.081454106736775,POSITIVE_FOLD_DISCREPANCY
111,Pinus elliottii,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.2450107177119591,4.081454106736775,POSITIVE_FOLD_DISCREPANCY
115,Pinus glabra,E_OBSERVED,0.0,0.0,0.0,0.0,0.454721580092406,0.0,POSITIVE_FOLD_DISCREPANCY
