population,group_type,group_value,metric,count,undefined_count,exact_zero_count,exact_zero_fraction,median,q25,q75,iqr,p90,p95,max
ALL_PSEUDO_EVENTS,EXACT_MATCH,A|LEVEL2|P95_TO_LT_P99,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,4268,0,4266,0.9995313964386129,0.0,0.0,0.0,0.0,0.0,0.0,0.002988191841787828
ALL_PSEUDO_EVENTS,EXACT_MATCH,B|LEVEL1|GE_P99,NORMALIZED_TV,3783,0,3757,0.993127147766323,0.0,0.0,0.0,0.0,0.0,0.0,0.04660998228038563
ALL_PSEUDO_EVENTS,EXACT_MATCH,B|LEVEL1|GE_P99,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,3783,0,3757,0.993127147766323,0.0,0.0,0.0,0.0,0.0,0.0,0.04660998228038556
ALL_PSEUDO_EVENTS,EXACT_MATCH,B|LEVEL1|LT_P95,NORMALIZED_TV,15301459,0,14493386,0.9471898071942029,0.0,0.0,0.0,0.0,0.0,0.00019843431766476005,1.0
ALL_PSEUDO_EVENTS,EXACT_MATCH,B|LEVEL1|LT_P95,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,15301459,0,14493423,0.9471922252642706,0.0,0.0,0.0,0.0,0.0,0.0001971618560784175,498.8439359214557
ALL_PSEUDO_EVENTS,EXACT_MATCH,B|LEVEL1|P95_TO_LT_P99,NORMALIZED_TV,13192,0,13015,0.9865827774408733,0.0,0.0,0.0,0.0,0.0,0.0,0.14015403605357574
ALL_PSEUDO_EVENTS,EXACT_MATCH,B|LEVEL1|P95_TO_LT_P99,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,13192,0,13015,0.9865827774408733,0.0,0.0,0.0,0.0,0.0,0.0,0.12811017403826774
ALL_PSEUDO_EVENTS,EXACT_MATCH,B|LEVEL2|LT_P95,NORMALIZED_TV,283822,0,282730,0.9961525181275588,0.0,0.0,0.0,0.0,0.0,0.0,0.2124653415835483
ALL_PSEUDO_EVENTS,EXACT_MATCH,B|LEVEL2|LT_P95,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,283822,0,282737,0.996177181472895,0.0,0.0,0.0,0.0,0.0,0.0,0.2748333417091122
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED,TARGET_POSITIVE_ALL,NORMALIZED_TV,1193386,0,221,0.0001851873576529304,0.004203328925771244,0.0011307996776687233,0.014396055673043215,0.013265255995374491,0.04066289979927818,0.07939577565931182,1.0
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED,TARGET_POSITIVE_ALL,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,1193386,0,0,0.0,0.004240017078542387,0.0011360249574778039,0.01477857176150356,0.013642546804025758,0.0430373359371264,0.08527323976308444,1.0
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,HIGH_TI,P95_OR_HIGHER,NORMALIZED_TV,3310,0,0,0.0,0.0063784018944531935,0.0028538371158372345,0.03104432939932641,0.028190492283489178,0.14667332695051116,0.38169362951953767,0.38169362951953767
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,HIGH_TI,P95_OR_HIGHER,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,3310,0,0,0.0,0.006378401894453222,0.0028538371158372496,0.03117637438746318,0.02832253727162593,0.22902285161793098,0.46583571249956585,0.46583571249956585
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,GE_P99,GE_P99,NORMALIZED_TV,99,0,0,0.0,0.0031490713979067508,0.000722793656637992,0.007478574360270116,0.006755780703632124,0.013447302633923413,0.048455376098125266,0.065063920457783
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,GE_P99,GE_P99,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,99,0,0,0.0,0.003242551605188245,0.0007262329791936904,0.007525182117409078,0.006798949138215387,0.014043317953504064,0.048671861532690645,0.06722877480343757
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,LEVEL,LEVEL1,NORMALIZED_TV,1191881,0,221,0.00018542119557237677,0.004203328925771244,0.0011319298717250412,0.014396055673043215,0.013264125801318173,0.04066366206612421,0.07939577565931183,1.0
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,LEVEL,LEVEL1,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,1191881,0,0,0.0,0.004249782523331492,0.0011387484965727675,0.01479996261274774,0.013661214116174972,0.0430373359371264,0.08541202148528793,1.0
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,LEVEL,LEVEL2,NORMALIZED_TV,1505,0,0,0.0,0.0009888404553171993,0.0003547598887028401,0.0022578480783094082,0.0019030881896065681,0.004094862101162228,0.013215788556567996,0.02927721980049086
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,LEVEL,LEVEL2,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,1505,0,0,0.0,0.0009932995029901682,0.0003551740428042214,0.0023553198099703267,0.0020001457671661054,0.0042684898958054735,0.014464912721532205,0.029277219800490834
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,FOLD,A,NORMALIZED_TV,441416,0,221,0.0005006615075121881,0.004470588523287594,0.0012926960938427876,0.015050178850002427,0.01375748275615964,0.042504331356833465,0.08566262591212885,1.0
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,FOLD,A,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,441416,0,0,0.0,0.004518774381977781,0.0012954913114516947,0.015388044838001842,0.014092553526550146,0.0454767628601601,0.09527328407139742,1.0
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,FOLD,B,NORMALIZED_TV,751970,0,0,0.0,0.003971648850038955,0.0010001317404278493,0.013983354331430426,0.012983222591002578,0.03965761245983149,0.07702932399285986,1.0
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,FOLD,B,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,751970,0,0,0.0,0.004037015331312875,0.0010001317404278133,0.014287228870976207,0.013287097130548393,0.04228404336281801,0.08246486333554201,1.0
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,A|LEVEL1|GE_P99,NORMALIZED_TV,80,0,0,0.0,0.002902169298604469,0.0005524311018686221,0.007492759177764116,0.006940328075895494,0.01928539963418049,0.065063920457783,0.065063920457783
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,A|LEVEL1|GE_P99,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,80,0,0,0.0,0.0029131273836521124,0.0005548606533000571,0.007558543630705338,0.007003682977405281,0.022061254881564837,0.06722877480343757,0.06722877480343757
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,A|LEVEL1|LT_P95,NORMALIZED_TV,437679,0,221,0.0005049362660762796,0.004468508187361943,0.00128655911582177,0.015042427776179824,0.013755868660358054,0.04211464781298892,0.0846871277464994,1.0
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,A|LEVEL1|LT_P95,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,437679,0,0,0.0,0.004518774381977781,0.0012949550090667545,0.015271139246608464,0.01397618423754171,0.04529247742724557,0.09504155797661057,1.0
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,A|LEVEL1|P95_TO_LT_P99,NORMALIZED_TV,3079,0,0,0.0,0.006616681118240687,0.002934293715748762,0.03104432939932641,0.028110035683577648,0.14667332695051116,0.38169362951953767,0.38169362951953767
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,A|LEVEL1|P95_TO_LT_P99,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,3079,0,0,0.0,0.006629432314082641,0.002943254675969427,0.03117637438746318,0.028233119711493754,0.22902285161793098,0.46583571249956585,0.46583571249956585
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,A|LEVEL2|GE_P99,NORMALIZED_TV,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,A|LEVEL2|GE_P99,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,A|LEVEL2|LT_P95,NORMALIZED_TV,577,0,0,0.0,0.0013448104161018814,0.00048005878865447734,0.0032398982845500326,0.002759839495895555,0.006278819304004156,0.0116985684922433,0.02927721980049086
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,A|LEVEL2|LT_P95,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,577,0,0,0.0,0.0013513597371858862,0.0004831791546623928,0.003260161485209067,0.002776982330546674,0.006385277121498364,0.011714053219750274,0.029277219800490834
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,A|LEVEL2|P95_TO_LT_P99,NORMALIZED_TV,1,0,0,0.0,0.0029861000967321186,0.0029861000967321186,0.0029861000967321186,0.0,0.0029861000967321186,0.0029861000967321186,0.0029861000967321186
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,A|LEVEL2|P95_TO_LT_P99,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,1,0,0,0.0,0.002988191841787828,0.002988191841787828,0.002988191841787828,0.0,0.002988191841787828,0.002988191841787828,0.002988191841787828
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,B|LEVEL1|GE_P99,NORMALIZED_TV,19,0,0,0.0,0.0038411198648800188,0.0031490713979067508,0.0048022791052287515,0.0016532077073220007,0.004802279105228752,0.008983049422744353,0.04660998228038563
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,B|LEVEL1|GE_P99,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,19,0,0,0.0,0.004249738937070082,0.003242551605188245,0.004915416202046051,0.0016728645968578054,0.004915416202046051,0.009084872809879914,0.04660998228038556
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,B|LEVEL1|LT_P95,NORMALIZED_TV,750893,0,0,0.0,0.003971648850038956,0.0010001317404278493,0.013983354331430426,0.012983222591002578,0.039663908610175116,0.07702932399285986,1.0
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,B|LEVEL1|LT_P95,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,750893,0,0,0.0,0.004060983763510038,0.0010001317404278133,0.01442064164698045,0.013420509906552636,0.04228404336281801,0.08246486333554201,1.0
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,B|LEVEL1|P95_TO_LT_P99,NORMALIZED_TV,131,0,0,0.0,0.0021779030338717974,0.001346686310972356,0.009817379765544356,0.008470693454572,0.011266946656867201,0.020684952543093285,0.07844570765252974
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,B|LEVEL1|P95_TO_LT_P99,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,131,0,0,0.0,0.002179439094630553,0.0013963532890347986,0.009878929801497016,0.008482576512462217,0.0113946527337563,0.021246499872370223,0.08540678269217869
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,B|LEVEL2|LT_P95,NORMALIZED_TV,927,0,0,0.0,0.0008177009610468007,0.0003004501361605176,0.002252936791413149,0.0019524866552526315,0.0035642143868290727,0.013215788556567996,0.02576985229466617
SELECTED_Y_ZERO_TARGET_STRATUM_POSITIVE,ZERO_SELECTED_EXACT_MATCH,B|LEVEL2|LT_P95,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,927,0,0,0.0,0.0008307193650906429,0.0003012695146513654,0.0022615010269627623,0.001960231512311397,0.0036417869980208606,0.014464912721532205,0.026302895568253666
